user_id,reference_date,od__history_length_days,od__is_history,ob__avg_util_3m,ob__avg_util_change_3m,ob__max_util_3m,ob__max_util_change_3m,ob__std_util_3m,ob__std_util_change_3m,ob__util_slope_3m,ob__util_range_3m,ob__num_od_entries_6m,ob__num_od_exits_6m,ob__overlimit_days_6m,ob__full_repayment_events_6m,ob__max_consecutive_od_days_since_creation_ratio,ob__od_draw_days_6m,ob__od_enabled_zero_util_days_6m,ob__technical_od_days_6m,ob__technical_od_deep_days_6m,ob__avg_util_first_2m_since_creation,ob__avg_util_change_last2m_to_first2m,ob__avg_util_first2m_1y,ob__avg_util_change_last2m_to_first2m_1y,ob__max_consecutive_overlimit_days_since_creation_ratio,ob__partial_repayment_events_6m,ob__full_repayment_change_3m_vs_prev_3m,ob__util_last2m_to_first2m_ratio,ob__util_last2m_to_first2m_1y_ratio,ob__max_to_avg_util_3m_ratio
02608cd4-2d19-4190-8dc4-d1eb85acb969,2023-10-31,1921,1,0.954231,0.0312,0.97446,0.0312,0.0149800629409321,-3.40987334286132e-17,5.57004831247308e-09,0.0312,0,0,62,0,0.0,181,0,0,0,0.8464,0.113227,1.01542,-0.055793,0.0,1,0,1.1337,0.945,1.0211
0394e159-96a7-47fa-82a4-5a24bff551aa,2023-09-28,728,1,0.996184,-0.006486,1.028121,-0.02764,0.0126128638612496,-0.00164028093544549,-1.12073903093744e-09,0.08489,0,0,6,0,0.0,181,0,0,0,0.615635,0.379034,0.995909,-0.00124,0.0,42,0,1.6156,0.9987,1.032
0441606b-b5f2-4bbf-8e55-ce9e9333dfb4,2021-12-09,1,1,0.0,,0.0,,,,0.0,0.0,0,0,0,0,,0,1,0,0,0.0,0.0,,,,0,0,,,
116a98cc-5584-4f9a-a259-65d577b02164,2023-12-27,1,1,0.0,,0.0,,,,0.0,0.0,0,0,0,0,,0,1,0,0,0.0,0.0,,,,0,0,,,
16bfa0db-3b70-4a5a-a03c-ad3523322da0,2023-03-28,1490,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,181,0,0,0.0,0.0,0.0,0.0,,0,0,,,
17080b12-bf58-41d9-b1e3-52affb609068,2022-03-05,774,1,0.959654,0.054965,0.999606,0.022658,0.0358564024752162,-0.0269629050514619,1.16609673776244e-08,0.16589,0,0,0,0,1.0,181,0,0,0,0.457347,0.516867,1.001798,-0.027584,0.0,3,0,2.1301,0.9724,1.0416
2ce4a81b-8cd8-4d0b-babd-8d9e72d12069,2024-03-30,1126,1,0.992452,-0.006568,1.032381,-0.033587,0.03288040841226,-0.0429799412863864,-1.73039172438256e-09,0.186667,0,0,34,0,0.0,181,0,0,0,0.196862,0.793877,0.995174,-0.004435,0.0,10,0,5.0326,0.9955,1.0402
2d4a5a1b-7824-4e5b-82e6-e7c22dc5fd5b,2022-03-05,247,1,0.952768,0.031297,1.010418,-0.017962,0.0416620634191542,-0.0148496033564986,5.00624215060345e-09,0.222185,0,0,5,0,1.0,181,0,0,0,0.793869,0.168939,,,0.0,76,0,1.2128,,1.0605
2f157c4f-c355-462f-9d8a-db7103d6ca92,2025-04-02,1,1,0.0,,0.0,,,,0.0,0.0,0,0,0,0,,0,1,2,2,0.0,0.0,,,,0,0,,,
2ff814ad-b180-43d5-8039-c0f4374f6042,2023-12-31,263,1,0.196347,0.505357,0.773188,0.703745,0.267242983016166,0.225148279187971,7.9322948787399e-08,0.773188,9,8,0,8,0.0,71,110,0,0,0.117292,0.174453,,,,12,2,2.4873,,3.9378
331272d5-6ea7-48bf-b52a-0fb79fc3f42c,2022-07-11,1,1,0.0,,0.0,,,,0.0,0.0,0,0,0,0,,0,1,0,0,0.0,0.0,,,,0,0,,,
331f2caa-164b-4515-b0cb-351a9ff7a1f3,2022-06-11,1,1,0.0,,0.0,,,,0.0,0.0,0,0,0,0,,0,1,27,27,0.0,0.0,,,,0,0,,,
340c71ad-4ae1-4e04-a1c9-f8ff1cb70d8e,2024-07-31,729,1,0.315347,0.556388,1.0017,0.7399,0.326626155767198,0.0892933844357677,9.64677876711687e-08,1.0017,5,4,1,4,0.0,61,120,0,0,0.011565,0.389391,0.0,0.400956,0.0,9,2,34.6697,,3.1765
3a6dbafb-13a5-4f61-8f3d-779329e017d8,2023-04-11,1979,1,0.774287,0.009549,0.999491,0.002655,0.207472422287878,-0.00991309611214275,-4.392310607256e-09,0.762531,0,0,2,0,0.0,181,0,0,0,0.841474,-0.085153,0.277511,0.47881,0.0,29,0,0.8988,2.7253,1.2908
41b2bced-1522-4b69-b8e6-c71b6b9be92f,2022-04-12,1121,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,181,0,0,0.102956,-0.102956,0.0,0.0,,0,0,0.0,,
43266217-40dd-4ff3-a7f6-641087452243,2023-10-31,623,1,1.031569,0.003924,1.06372,0.03386,0.00603143783391017,0.00799139321967025,5.92704665441706e-10,0.03386,0,0,124,0,0.0,181,0,0,0,0.0,1.032409,0.92514,0.107269,0.0,1,0,,1.1159,1.0311
432f5b28-400d-45e9-8261-f4d9e6f8ae33,2024-12-30,1,1,0.0,,0.0,,,,0.0,0.0,0,0,0,0,,0,1,0,0,0.0,0.0,,,,0,0,,,
